"Name","Country","Weight","Height","Age","Team","Fight_Result","Fight_Method"
"Allycia Hellen Rodrigues","
Brazil ","115.08 LBS / 52.2 KG","5'3"" FT / 161 CM","26 Y","Phuket Fight Club","WIN","Unanimous Decision 
R5 (3:00)"
"Allycia Hellen Rodrigues","
Brazil ","115.08 LBS / 52.2 KG","5'3"" FT / 161 CM","26 Y","Phuket Fight Club","LOSS","TKO 
R3 (2:58)"
"Allycia Hellen Rodrigues","
Brazil ","115.08 LBS / 52.2 KG","5'3"" FT / 161 CM","26 Y","Phuket Fight Club","WIN","Unanimous Decision 
R5 (3:00)"
"Allycia Hellen Rodrigues","
Brazil ","115.08 LBS / 52.2 KG","5'3"" FT / 161 CM","26 Y","Phuket Fight Club","WIN","Majority Decision 
R5 (3:00)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Unanimous Decision 
R5 (3:00)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Knockout 
R2 (1:03)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Unanimous Decision 
R3 (3:00)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Knockout 
R1 (1:55)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","WIN","Knockout 
R1 (0:39)"
"Chingiz Allazov","
Azerbaijan / Belarus ","154.54 LBS / 70.1 KG","5'11"" FT / 181 CM","31 Y","Gridin Gym","LOSS","Split Decision 
R3 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","LOSS","Unanimous Decision 
R5 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","LOSS","Unanimous Decision 
R5 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Unanimous Decision 
R5 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","TKO 
R3 (1:36)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Unanimous Decision 
R3 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Split Decision 
R5 (5:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Knockout 
R2 (2:29)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","Majority Decision 
R3 (3:00)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","WIN","TKO 
R2 (2:59)"
"Janet Todd","
United States ","115.08 LBS / 52.2 KG","5'2"" FT / 160 CM","38 Y","Boxing Works","LOSS","Unanimous Decision 
R5 (5:00)"
